"pro_KG_present","pro_KG_present_long","pro_KG_present_short","area_km2","percent_area","ocs_0_200_kg","ocs_0_200_Gt"
1,"Tropical, rainforest","Af",6707884.36416622,5.15337526257963,142138888135472,142.138888135472
2,"Tropical, monsoon","Am",4780287.82450938,3.6724868357058,92037711252993,92.037711252993
3,"Tropical, savannah","Aw",17216112.4005143,13.2263889694569,282573208086389,282.573208086389
4,"Arid, desert, hot","BWh",22049708.9719297,16.9398305924951,420671073201476,420.671073201476
5,"Arid, desert, cold","BWk",6663763.29840393,5.11947897031904,138655527482033,138.655527482033
6,"Arid, steppe, hot","BSh",8428217.27166385,6.47503207232726,141772678507225,141.772678507224
7,"Arid, steppe, cold","BSk",8043274.47721871,6.17929729714254,161429347899248,161.429347899248
8,"Temperate, dry summer, hot summer","Csa",1302423.07744478,1.00059489763596,29129349754414,29.129349754414
9,"Temperate, dry summer, warm summer","Csb",934261.07938418,0.717752077094403,33241339513210,33.24133951321
10,"Temperate, dry summer, cold summer","Csc",5048.08741558332,0.00387822559222668,253901596380,0.25390159638
11,"Temperate, dry winter, hot summer","Cwa",4045120.71103359,3.10768997714828,71349175709173.5,71.3491757091735
12,"Temperate, dry winter, warm summer","Cwb",1572448.91519161,1.20804398246747,34356962178678,34.356962178678
13,"Temperate, dry winter, cold summer","Cwc",7537.1987298735,0.00579050135258328,183781597109,0.183781597109
14,"Temperate, no dry season, hot summer","Cfa",5809044.63292627,4.46283586378791,107526316871862,107.526316871862
15,"Temperate, no dry season, warm summer","Cfb",2931220.75702984,2.25192918040339,112852607473674,112.852607473674
16,"Temperate, no dry season, cold summer","Cfc",91197.7826411328,0.0700632824822622,7356534508796,7.356534508796
17,"Cold, dry summer, hot summer","Dsa",244139.450097258,0.187561701193307,4333254291327.5,4.3332542913275
18,"Cold, dry summer, warm summer","Dsb",636359.551340132,0.488887314083884,12432947474795,12.432947474795
19,"Cold, dry summer, cold summer","Dsc",1554009.80847987,1.19387802026037,58275045913912.5,58.2750459139125
20,"Cold, dry summer, very cold winter","Dsd",12709.5249546587,0.00976417420824425,484545216932,0.484545216932
21,"Cold, dry winter, hot summer","Dwa",1052787.97086186,0.808811123036595,18601734212443.5,18.6017342124435
22,"Cold, dry winter, warm summer","Dwb",1702867.62992156,1.30823899803111,37862898766543,37.862898766543
23,"Cold, dry winter, cold summer","Dwc",2733836.17406227,2.10028720629399,76072166791105.5,76.0721667911055
24,"Cold, dry winter, very cold winter","Dwd",247697.147029524,0.190294924720599,8921003532765,8.921003532765
25,"Cold, no dry season, hot summer","Dfa",1709819.10624591,1.31357951438224,34543058624182,34.543058624182
26,"Cold, no dry season, warm summer","Dfb",8879000.24910875,6.82134899114095,209722825860538,209.722825860538
27,"Cold, no dry season, cold summer","Dfc",14577775.2807496,11.199469525232,499171440303203,499.171440303202
28,"Cold, no dry season, very cold winter","Dfd",121294.832032002,0.0931855340577519,4220660151936,4.220660151936
29,"Polar, tundra","ET",6048112.38382934,4.64650119948837,245117261922924,245.117261922924
30,"Polar, frost","EF",56913.0103477768,0.0437237858797865,2907030888124.5,2.9070308881245
